colour	x	y	clickSelects	showSelected1	fill
#FD61D1	0.232593394390292	-0.431377143319906	14	55	#FD61D1
#FF67A4	0.0552038883152749	-0.00269228185667512	15	55	#FF67A4
#F8766D	0.254876074497283	-0.289021043457799	1	56	#F8766D
#E58700	0.321180691054775	-0.489656063368351	2	56	#E58700
#C99800	0.238834626163714	-0.622576648539141	3	56	#C99800
#A3A500	0.317849945841359	-0.333758416979599	4	56	#A3A500
#6BB100	0.0471763867818012	-0.586966927770825	5	56	#6BB100
#00BA38	-0.272463968174634	-0.420881685283424	6	56	#00BA38
#00BF7D	0.245482680271961	0.354357469546123	7	56	#00BF7D
#00C0AF	0.139403646583031	-0.762677291955395	8	56	#00C0AF
#00BCD8	0.449097432298291	-0.343656179754606	9	56	#00BCD8
#00B0F6	-0.556789901298414	-0.677709388331574	10	56	#00B0F6
#619CFF	-0.367255409096532	0.184897124762663	11	56	#619CFF
#B983FF	-0.18985442391881	0.375936509280944	12	56	#B983FF
#E76BF3	0.593679542003553	-0.0174383307726793	13	56	#E76BF3
#FD61D1	0.229007948683683	-0.436095215009138	14	56	#FD61D1
#FF67A4	0.067773081691437	0.0253960287345162	15	56	#FF67A4
#F8766D	0.15322362975413	-0.364320505183474	1	57	#F8766D
#E58700	0.247487367155317	-0.456168983705946	2	57	#E58700
#C99800	0.296484449707387	-0.560927613137266	3	57	#C99800
#A3A500	0.335317952005611	-0.452329563399218	4	57	#A3A500
#6BB100	0.0471630425753167	-0.644986057965529	5	57	#6BB100
#00BA38	-0.223006391545449	-0.349093240689651	6	57	#00BA38
#00BF7D	0.251615358565566	0.291992382134207	7	57	#00BF7D
#00C0AF	0.101653107404069	-0.807664482564929	8	57	#00C0AF
#00BCD8	0.517443808505485	-0.351902200827915	9	57	#00BCD8
#00B0F6	-0.517626108245984	-0.621582134912402	10	57	#00B0F6
#619CFF	-0.339108468403586	0.163896602127457	11	57	#619CFF
#B983FF	-0.222208371574274	0.379695694252785	12	57	#B983FF
#E76BF3	0.690960995907567	-0.0648234202077063	13	57	#E76BF3
#FD61D1	0.344959959476968	-0.43657760962129	14	57	#FD61D1
#FF67A4	0.010717156306683	0.0109905837474923	15	57	#FF67A4
#F8766D	0.146574371311063	-0.322046237624002	1	58	#F8766D
#E58700	0.26597987231966	-0.469215816168813	2	58	#E58700
#C99800	0.290331542119654	-0.552441945150775	3	58	#C99800
#A3A500	0.374780792045829	-0.35389695664693	4	58	#A3A500
#6BB100	0.0144113869501286	-0.623918434873006	5	58	#6BB100
#00BA38	-0.194882306324848	-0.379417215150661	6	58	#00BA38
#00BF7D	0.321185029156594	0.273360845195616	7	58	#00BF7D
#00C0AF	0.118077166133635	-0.762701117750992	8	58	#00C0AF
#00BCD8	0.579778003381425	-0.27507338972132	9	58	#00BCD8
#00B0F6	-0.494570937902045	-0.605849791777871	10	58	#00B0F6
#619CFF	-0.454613876826843	0.24763154054032	11	58	#619CFF
#B983FF	-0.16800249969448	0.432538981406873	12	58	#B983FF
#E76BF3	0.69956811486858	-0.0594098708797369	13	58	#E76BF3
#FD61D1	0.354993549466849	-0.477120498780772	14	58	#FD61D1
#FF67A4	0.0744045924919907	0.0664913007908229	15	58	#FF67A4
#F8766D	0.132525321254854	-0.341059365158429	1	59	#F8766D
#E58700	0.256155967253913	-0.398991784807949	2	59	#E58700
#C99800	0.273554352789036	-0.558545928652545	3	59	#C99800
#A3A500	0.332512307814944	-0.373564208527815	4	59	#A3A500
#6BB100	0.0703968247366976	-0.641013318590259	5	59	#6BB100
#00BA38	-0.191069265549209	-0.328770292022531	6	59	#00BA38
#00BF7D	0.260945707190975	0.231717980505518	7	59	#00BF7D
#00C0AF	0.179627047166609	-0.734222327918042	8	59	#00C0AF
#00BCD8	0.624178386225258	-0.150387851578607	9	59	#00BCD8
#00B0F6	-0.458995079116532	-0.615307492486386	10	59	#00B0F6
#619CFF	-0.484001042440641	0.243152238391804	11	59	#619CFF
#B983FF	-0.122214348565281	0.460298779891806	12	59	#B983FF
#E76BF3	0.673975359174014	-0.0398545044723183	13	59	#E76BF3
#FD61D1	0.275789128193643	-0.489247085845105	14	59	#FD61D1
#FF67A4	0.0677166396670734	0.114684774687727	15	59	#FF67A4
#F8766D	0.0243739249962202	-0.318623105496263	1	60	#F8766D
#E58700	0.241320109994392	-0.488240978705801	2	60	#E58700
#C99800	0.257527566173311	-0.539451299518385	3	60	#C99800
#A3A500	0.275668748355458	-0.319148980142284	4	60	#A3A500
#6BB100	0.0459996900189604	-0.641207327736431	5	60	#6BB100
#00BA38	-0.227874139790787	-0.371028741961352	6	60	#00BA38
#00BF7D	0.258776649452051	0.179504974254225	7	60	#00BF7D
#00C0AF	0.188147843289207	-0.703638253997744	8	60	#00C0AF
#00BCD8	0.617168698788396	-0.0650698567659973	9	60	#00BCD8
#00B0F6	-0.439694199857819	-0.690006003920479	10	60	#00B0F6
#619CFF	-0.52176077026522	0.133422531835645	11	60	#619CFF
#B983FF	-0.080664823441681	0.455644242561224	12	60	#B983FF
#E76BF3	0.661736248486797	-0.122760658144761	13	60	#E76BF3
#FD61D1	0.240413268835044	-0.434751159800978	14	60	#FD61D1
#FF67A4	0.0794444883264878	0.0658483755723095	15	60	#FF67A4
#F8766D	-0.0368502404781035	-0.291298822938038	1	61	#F8766D
#E58700	0.197620401927889	-0.48970163588193	2	61	#E58700
#C99800	0.229705188903407	-0.522794574985484	3	61	#C99800
#A3A500	0.217913244170735	-0.277118502970249	4	61	#A3A500
#6BB100	0.101703307247207	-0.611953502478576	5	61	#6BB100
#00BA38	-0.134753567247772	-0.357721064380431	6	61	#00BA38
#00BF7D	0.135391030084137	0.194423496873956	7	61	#00BF7D
#00C0AF	0.218872732819499	-0.71216662970568	8	61	#00C0AF
#00BCD8	0.660709787754279	-0.0300564758923628	9	61	#00BCD8
#00B0F6	-0.429577429779462	-0.844939230339202	10	61	#00B0F6
#619CFF	-0.525005019036204	0.0488858596203589	11	61	#619CFF
#B983FF	-0.0581040954737084	0.41355948897586	12	61	#B983FF
#E76BF3	0.635653066974556	-0.0804739439360459	13	61	#E76BF3
#FD61D1	0.275664089620834	-0.510853601041601	14	61	#FD61D1
#FF67A4	0.101197717515966	0.0874692222537298	15	61	#FF67A4
#F8766D	-0.037510805761398	-0.25167147159875	1	62	#F8766D
#E58700	0.108103233092033	-0.39134335059585	2	62	#E58700
#C99800	0.227867831198316	-0.411366568362919	3	62	#C99800
#A3A500	0.139145039004777	-0.260428039228973	4	62	#A3A500
#6BB100	0.034048431891255	-0.623035978388196	5	62	#6BB100
#00BA38	-0.0355032355442009	-0.334197896096079	6	62	#00BA38
#00BF7D	0.116746750044368	0.0873506188787672	7	62	#00BF7D
#00C0AF	0.1893262897139	-0.710710226460478	8	62	#00C0AF
#00BCD8	0.688906816243473	0.0187134583087836	9	62	#00BCD8
#00B0F6	-0.4411399489354	-0.770826181248439	10	62	#00B0F6
#619CFF	-0.541636451967253	0.0423830346683062	11	62	#619CFF
#B983FF	-0.0347323991467981	0.390796436930477	12	62	#B983FF
#E76BF3	0.54025319878785	-0.0670731338608734	13	62	#E76BF3
#FD61D1	0.424314254189632	-0.571643791839972	14	62	#FD61D1
#FF67A4	-0.000678024772057972	0.0189583434132306	15	62	#FF67A4
#F8766D	0.0317453539420938	-0.294801879882615	1	63	#F8766D
#E58700	0.046335351840215	-0.372748518261815	2	63	#E58700
#C99800	0.244151088387906	-0.412946090127574	3	63	#C99800
#A3A500	0.186058499034017	-0.171007361167756	4	63	#A3A500
#6BB100	0.0843461950522158	-0.536910305497095	5	63	#6BB100
#00BA38	-0.124987233077992	-0.389180673163956	6	63	#00BA38
#00BF7D	0.127643982526737	-0.000765718328069584	7	63	#00BF7D
#00C0AF	0.202043769066975	-0.746270586369894	8	63	#00C0AF
#00BCD8	0.679226730105737	0.153835431617315	9	63	#00BCD8
#00B0F6	-0.377203532269111	-0.821202584430296	10	63	#00B0F6
#619CFF	-0.507437648000962	-0.0118470796775004	11	63	#619CFF
#B983FF	0.0530338024400375	0.425764488249799	12	63	#B983FF
#E76BF3	0.525914483256381	-0.0741821186095777	13	63	#E76BF3
#FD61D1	0.364115526699953	-0.610758763359906	14	63	#FD61D1
#FF67A4	-0.0546761381095581	0.00864060854692844	15	63	#FF67A4
#F8766D	0.0787791120537916	-0.29737628860456	1	64	#F8766D
#E58700	0.0839234732085989	-0.438495931833245	2	64	#E58700
#C99800	0.248094116915049	-0.373964667203428	3	64	#C99800
#A3A500	0.209735151913437	-0.230753340042701	4	64	#A3A500
#6BB100	0.0685206283433266	-0.481812417416495	5	64	#6BB100
#00BA38	-0.0975596346424804	-0.390376658305105	6	64	#00BA38
#00BF7D	0.170409911585979	0.0510220639246887	7	64	#00BF7D
#00C0AF	0.191013660209596	-0.712107133786042	8	64	#00C0AF
#00BCD8	0.756200906695489	0.157085588290159	9	64	#00BCD8
#00B0F6	-0.328911913225669	-0.838717966620511	10	64	#00B0F6
#619CFF	-0.531041597778075	-0.0823086319440978	11	64	#619CFF
#B983FF	0.0725097383495693	0.382341780982367	12	64	#B983FF
#E76BF3	0.483776417694822	-0.0896233395387472	13	64	#E76BF3
#FD61D1	0.311217180869947	-0.601908057592338	14	64	#FD61D1
#FF67A4	-0.0446522086508044	0.0122907855273842	15	64	#FF67A4
#F8766D	-0.00581823907394917	-0.250733521464157	1	65	#F8766D
#E58700	0.0774004072918233	-0.449393743181716	2	65	#E58700
#C99800	0.140571541514669	-0.453975189816693	3	65	#C99800
#A3A500	0.237214459910925	-0.180349215789707	4	65	#A3A500
#6BB100	0.0973121198517667	-0.422562154405275	5	65	#6BB100
#00BA38	-0.15053678358643	-0.431335385501705	6	65	#00BA38
#00BF7D	0.16571547378304	-0.0371087728839703	7	65	#00BF7D
#00C0AF	0.211908498118115	-0.814952119691095	8	65	#00C0AF
#00BCD8	0.750598138270811	0.136834263131132	9	65	#00BCD8
#00B0F6	-0.277277671037314	-0.832360459792785	10	65	#00B0F6
#619CFF	-0.500046276302061	-0.100893156969298	11	65	#619CFF
#B983FF	0.0489969216066788	0.327207811182001	12	65	#B983FF
#E76BF3	0.561375527318618	-0.109486753700906	13	65	#E76BF3
#FD61D1	0.313682108351273	-0.649179948110753	14	65	#FD61D1
#FF67A4	-0.0767819686539013	0.0175854210326589	15	65	#FF67A4
#F8766D	0.0361788747682445	-0.26511611470139	1	66	#F8766D
#E58700	0.162059365097755	-0.386856872199566	2	66	#E58700
#C99800	0.165497110543538	-0.422379352168544	3	66	#C99800
#A3A500	0.209017974936369	-0.197798235136836	4	66	#A3A500
#6BB100	0.223916088418839	-0.42521679992283	5	66	#6BB100
#00BA38	-0.123410597884912	-0.41068116819344	6	66	#00BA38
#00BF7D	0.121370603939919	-0.0179951022563963	7	66	#00BF7D
#00C0AF	0.239690986061691	-0.809599964398051	8	66	#00C0AF
#00BCD8	0.772656597623618	0.0861050612965164	9	66	#00BCD8
#00B0F6	-0.287261261823757	-0.819861565581391	10	66	#00B0F6
#619CFF	-0.509488391276699	-0.0602611887994187	11	66	#619CFF
#B983FF	0.103478859529387	0.343128320187252	12	66	#B983FF
#E76BF3	0.558111836633625	-0.0170017437738655	13	66	#E76BF3
#FD61D1	0.351275344088159	-0.603603046081596	14	66	#FD61D1
#FF67A4	-0.0876514647034597	-0.0243237530535084	15	66	#FF67A4
#F8766D	0.0457679118863546	-0.273594303434715	1	67	#F8766D
#E58700	0.142479341718971	-0.434567666665269	2	67	#E58700
#C99800	0.179526647128695	-0.49909779910824	3	67	#C99800
#A3A500	0.172501737010066	-0.212253594017159	4	67	#A3A500
#6BB100	0.209299003585634	-0.436842030810419	5	67	#6BB100
#00BA38	-0.183268548621341	-0.376971391723812	6	67	#00BA38
#00BF7D	0.102274234461108	-0.0630573214067598	7	67	#00BF7D
#00C0AF	0.269140146461497	-0.785269453490128	8	67	#00C0AF
#00BCD8	0.838471392055663	0.103545730552465	9	67	#00BCD8
#00B0F6	-0.252719659098088	-0.874075007223122	10	67	#00B0F6
#619CFF	-0.451269340481563	-0.0816560850386946	11	67	#619CFF
#B983FF	0.102055671146223	0.408683201587285	12	67	#B983FF
#E76BF3	0.581813277753782	0.0148695302657505	13	67	#E76BF3
#FD61D1	0.465646840720897	-0.646899602031764	14	67	#FD61D1
#FF67A4	-0.113455322335836	-0.0321820531060472	15	67	#FF67A4
#F8766D	0.0502473777056229	-0.284270150400884	1	68	#F8766D
#E58700	0.0726900250662273	-0.441729546181896	2	68	#E58700
#C99800	0.21566259108132	-0.516503857091829	3	68	#C99800
#A3A500	0.143490014201116	-0.198506659547892	4	68	#A3A500
#6BB100	0.225085851845158	-0.369146071005074	5	68	#6BB100
#00BA38	-0.224258461911343	-0.478490394136733	6	68	#00BA38
#00BF7D	0.0719748128344475	-0.112605980275488	7	68	#00BF7D
#00C0AF	0.257491239314675	-0.763652854046493	8	68	#00C0AF
#00BCD8	0.845817185715381	-0.0130486612402543	9	68	#00BCD8
#00B0F6	-0.181857034077921	-0.822572268199568	10	68	#00B0F6
#619CFF	-0.512371025890208	-0.0713775868747669	11	68	#619CFF
#B983FF	0.0460781602118864	0.467588237110604	12	68	#B983FF
#E76BF3	0.576019892576545	0.00108479188457625	13	68	#E76BF3
#FD61D1	0.431795642862161	-0.552285315533284	14	68	#FD61D1
#FF67A4	-0.210744226379101	0.143560843307134	15	68	#FF67A4
#F8766D	0.0593429506495311	-0.267518009998453	1	69	#F8766D
#E58700	0.127083024014974	-0.451032476113916	2	69	#E58700
#C99800	0.242893958327398	-0.518281574293605	3	69	#C99800
#A3A500	0.200696955582282	-0.203180464989588	4	69	#A3A500
#6BB100	0.295831268092779	-0.339456579870409	5	69	#6BB100
#00BA38	-0.270104648790387	-0.451694182757524	6	69	#00BA38
#00BF7D	0.0871954035677018	-0.0793752531200432	7	69	#00BF7D
#00C0AF	0.24998905074401	-0.755786880885061	8	69	#00C0AF
#00BCD8	0.82720406168576	-0.00213836059985101	9	69	#00BCD8
#00B0F6	-0.232621984881089	-0.768496982239108	10	69	#00B0F6
#619CFF	-0.494733145495252	-0.126081974856107	11	69	#619CFF
#B983FF	0.157061947034434	0.513340486456298	12	69	#B983FF
#E76BF3	0.619729629965483	-0.0132433240131002	13	69	#E76BF3
#FD61D1	0.462986601376522	-0.54337091895235	14	69	#FD61D1
#FF67A4	-0.252594124663889	0.214810431701512	15	69	#FF67A4
#F8766D	0.081105055566238	-0.340632353518599	1	70	#F8766D
#E58700	0.210075662824738	-0.416042665528324	2	70	#E58700
#C99800	0.252993664956076	-0.569479556197974	3	70	#C99800
#A3A500	0.244557591284544	-0.116228326647325	4	70	#A3A500
#6BB100	0.282776759323872	-0.323873291933422	5	70	#6BB100
#00BA38	-0.341088161428628	-0.358270659911928	6	70	#00BA38
#00BF7D	0.0796061890591295	-0.0701036895920911	7	70	#00BF7D
#00C0AF	0.28292648859944	-0.822884888288482	8	70	#00C0AF
#00BCD8	0.822458737102348	-0.0360889833534927	9	70	#00BCD8
#00B0F6	-0.248814580023243	-0.787482285294458	10	70	#00B0F6
#619CFF	-0.500964578394892	-0.13670688073563	11	70	#619CFF
#B983FF	0.146950627490442	0.516033949908775	12	70	#B983FF
#E76BF3	0.580261004555887	-0.0218155054667346	13	70	#E76BF3
#FD61D1	0.504375102053952	-0.425533609019339	14	70	#FD61D1
#FF67A4	-0.200946030955684	0.184130341769393	15	70	#FF67A4
#F8766D	0.0685862833269028	-0.344399730850546	1	71	#F8766D
#E58700	0.268827372131631	-0.497442027282701	2	71	#E58700
#C99800	0.263254240839827	-0.520063218514575	3	71	#C99800
#A3A500	0.204210859640174	-0.0819177224604816	4	71	#A3A500
#6BB100	0.223460342792182	-0.364399952652093	5	71	#6BB100
#00BA38	-0.424079493612122	-0.290184771130371	6	71	#00BA38
#00BF7D	0.11529357339929	-0.0567079274806261	7	71	#00BF7D
#00C0AF	0.382790696050237	-0.882812854268651	8	71	#00C0AF
#00BCD8	0.85064924522198	0.0057557742607463	9	71	#00BCD8
#00B0F6	-0.180026953176683	-0.782748121932415	10	71	#00B0F6
#619CFF	-0.4864544466061	-0.168862757887942	11	71	#619CFF
#B983FF	0.175778365673484	0.498143457005205	12	71	#B983FF
#E76BF3	0.671353079234949	0.0033690733643016	13	71	#E76BF3
#FD61D1	0.402817348436037	-0.386007393911313	14	71	#FD61D1
#FF67A4	-0.212301687385425	0.196131434954858	15	71	#FF67A4
#F8766D	0.0880105532271432	-0.310080913267603	1	72	#F8766D
#E58700	0.236066930324292	-0.455702820811558	2	72	#E58700
#C99800	0.289772915081281	-0.461235114150735	3	72	#C99800
#A3A500	0.274681490253869	-0.165060206490423	4	72	#A3A500
#6BB100	0.217704585267379	-0.26435207474592	5	72	#6BB100
#00BA38	-0.506136037630911	-0.270187537558151	6	72	#00BA38
#00BF7D	0.0729802995925208	-0.0313072129155812	7	72	#00BF7D
#00C0AF	0.347676081107392	-0.849108675553812	8	72	#00C0AF
#00BCD8	0.787984909504049	-0.0226827032778102	9	72	#00BCD8
#00B0F6	-0.201477726123921	-0.737271564534303	10	72	#00B0F6
#619CFF	-0.555017498994782	-0.101462179763503	11	72	#619CFF
#B983FF	0.154438189725	0.472131379429314	12	72	#B983FF
#E76BF3	0.593222232929707	0.0708196057118228	13	72	#E76BF3
#FD61D1	0.384523762140365	-0.388306747774027	14	72	#FD61D1
#FF67A4	-0.164679225807111	0.151789414342855	15	72	#FF67A4
#F8766D	0.165687374996723	-0.303890427069019	1	73	#F8766D
#E58700	0.223193791999132	-0.464415080770626	2	73	#E58700
#C99800	0.27689874952664	-0.437409151944873	3	73	#C99800
#A3A500	0.30488924793645	-0.216579366794828	4	73	#A3A500
#6BB100	0.189569983802768	-0.319676292441452	5	73	#6BB100
#00BA38	-0.432406111817998	-0.238340825054177	6	73	#00BA38
#00BF7D	0.0649828869538828	-0.0304108814353663	7	73	#00BF7D
#00C0AF	0.430950313712509	-0.877116313047832	8	73	#00C0AF
#00BCD8	0.810279386875532	-0.0553568823446019	9	73	#00BCD8
#00B0F6	-0.213044695954338	-0.72761106259478	10	73	#00B0F6
#619CFF	-0.641852650689478	-0.172079573179922	11	73	#619CFF
#B983FF	0.141128692285237	0.50094852959654	12	73	#B983FF
#E76BF3	0.612605398646763	0.0809306116628562	13	73	#E76BF3
#FD61D1	0.454605783879345	-0.313188092516284	14	73	#FD61D1
#FF67A4	-0.163151694061316	0.121376687125819	15	73	#FF67A4
#F8766D	0.111613973184428	-0.166717338260706	1	74	#F8766D
#E58700	0.253437919317278	-0.372155045519543	2	74	#E58700
#C99800	0.241950333921625	-0.47830329658535	3	74	#C99800
#A3A500	0.3901124146089	-0.138072525461866	4	74	#A3A500
#6BB100	0.180347529994931	-0.341742226391693	5	74	#6BB100
#00BA38	-0.492964296796011	-0.188768735085309	6	74	#00BA38
#00BF7D	0.0568442903759612	-0.0551843396019784	7	74	#00BF7D
#00C0AF	0.442845310472476	-0.823816737673511	8	74	#00C0AF
#00BCD8	0.846889115180417	-0.0451750709540503	9	74	#00BCD8
#00B0F6	-0.229513979636273	-0.680853658642754	10	74	#00B0F6
#619CFF	-0.641700091627852	-0.223182833016733	11	74	#619CFF
#B983FF	0.15803242110405	0.499686237653159	12	74	#B983FF
#E76BF3	0.68708205367748	0.0714749473766125	13	74	#E76BF3
#FD61D1	0.461036407306614	-0.367567302740991	14	74	#FD61D1
#FF67A4	-0.08415409319812	0.172603874921712	15	74	#FF67A4
#F8766D	0.0493141406193347	-0.160351202614733	1	75	#F8766D
#E58700	0.226743235113297	-0.402499777433546	2	75	#E58700
#C99800	0.290617971813628	-0.516317796961807	3	75	#C99800
#A3A500	0.450533867252379	-0.25687719553845	4	75	#A3A500
#6BB100	0.246689331832907	-0.314785409712662	5	75	#6BB100
#00BA38	-0.381500376919618	-0.28119665140136	6	75	#00BA38
#00BF7D	0.0506636993628274	-0.103396808862804	7	75	#00BF7D
#00C0AF	0.327522794462259	-0.856744500775571	8	75	#00C0AF
#00BCD8	0.880477923281108	-0.0216171187757024	9	75	#00BCD8
#00B0F6	-0.20133816573465	-0.642412330396623	10	75	#00B0F6
#619CFF	-0.573451076171382	-0.203687317006918	11	75	#619CFF
#B983FF	0.187885540794029	0.50539846673253	12	75	#B983FF
#E76BF3	0.738155094155523	0.157902753324574	13	75	#E76BF3
#FD61D1	0.434295559011195	-0.41459806486866	14	75	#FD61D1
#FF67A4	-0.0995190262655485	0.163636924744212	15	75	#FF67A4
#F8766D	0.08507316862963	-0.219508946038597	1	76	#F8766D
#E58700	0.202049509981178	-0.38461952692294	2	76	#E58700
#C99800	0.319360915430376	-0.51293805466529	3	76	#C99800
#A3A500	0.463062313574805	-0.280806036989295	4	76	#A3A500
#6BB100	0.255740472158733	-0.222858942543985	5	76	#6BB100
#00BA38	-0.350929685800489	-0.364561930951646	6	76	#00BA38
#00BF7D	0.104242484712294	-0.102992564805083	7	76	#00BF7D
#00C0AF	0.313141527847057	-0.824495945617313	8	76	#00C0AF
#00BCD8	0.864652607528252	-0.0837279104165554	9	76	#00BCD8
#00B0F6	-0.313899057472415	-0.658286204742585	10	76	#00B0F6
#619CFF	-0.576764378982118	-0.185031846506953	11	76	#619CFF
#B983FF	0.236054376412799	0.541114378990261	12	76	#B983FF
#E76BF3	0.778152464106049	0.0980094518040883	13	76	#E76BF3
#FD61D1	0.343820156486714	-0.382767810202256	14	76	#FD61D1
#FF67A4	-0.0198904311214976	0.14248170161167	15	76	#FF67A4
#F8766D	0.125875553111141	-0.195761999000773	1	77	#F8766D
#E58700	0.218092307860727	-0.423225500376548	2	77	#E58700
#C99800	0.348948457127883	-0.424449916298521	3	77	#C99800
#A3A500	0.524829431519808	-0.24136043854352	4	77	#A3A500
#6BB100	0.352086696806422	-0.24332017783834	5	77	#6BB100
#00BA38	-0.358553146302315	-0.297582985976569	6	77	#00BA38
#00BF7D	0.168621524456098	-0.102217244612091	7	77	#00BF7D
#00C0AF	0.34385770876162	-0.860858055692567	8	77	#00C0AF
#00BCD8	0.857804375602809	-0.151248391950793	9	77	#00BCD8
#00B0F6	-0.294979913850071	-0.687520074988304	10	77	#00B0F6
#619CFF	-0.515427662842992	-0.326000063172007	11	77	#619CFF
#B983FF	0.24500909194399	0.455367381753561	12	77	#B983FF
#E76BF3	0.734962619644978	0.164174029680063	13	77	#E76BF3
#FD61D1	0.446521768825131	-0.415518528090053	14	77	#FD61D1
#FF67A4	0.00292961070151916	0.15400585954249	15	77	#FF67A4
#F8766D	0.109182646568885	-0.21473183294482	1	78	#F8766D
#E58700	0.174780929711138	-0.435216967277868	2	78	#E58700
#C99800	0.378551862267869	-0.431371511922911	3	78	#C99800
#A3A500	0.508218502522464	-0.187679113351176	4	78	#A3A500
#6BB100	0.300021336144686	-0.188112486839744	5	78	#6BB100
#00BA38	-0.351824609637322	-0.298649610222025	6	78	#00BA38
#00BF7D	0.167859002917282	-0.0140576204272736	7	78	#00BF7D
#00C0AF	0.378030502800282	-0.861774071734984	8	78	#00C0AF
#00BCD8	0.862568117289783	-0.078873670256871	9	78	#00BCD8
#00B0F6	-0.369311964008489	-0.614899678806459	10	78	#00B0F6
#619CFF	-0.549847777203238	-0.319035499017118	11	78	#619CFF
#B983FF	0.202590886272585	0.411754477903544	12	78	#B983FF
#E76BF3	0.74980694602952	0.171273917232922	13	78	#E76BF3
#FD61D1	0.462375786805015	-0.371923354498942	14	78	#FD61D1
#FF67A4	-0.0279942474581922	0.0812626737773696	15	78	#FF67A4
#F8766D	0.107929942809766	-0.148533726930772	1	79	#F8766D
#E58700	0.110572238254087	-0.377887009290482	2	79	#E58700
#C99800	0.433267038554354	-0.455160263962514	3	79	#C99800
#A3A500	0.480083406788551	-0.223474588385774	4	79	#A3A500
#6BB100	0.24272591677465	-0.186978478500417	5	79	#6BB100
#00BA38	-0.383834125798912	-0.214023500173161	6	79	#00BA38
#00BF7D	0.0757548209559723	0.0403405128954617	7	79	#00BF7D
#00C0AF	0.421389245388301	-0.876686080752755	8	79	#00C0AF
#00BCD8	0.911030037104333	-0.0923855572906149	9	79	#00BCD8
#00B0F6	-0.280095612343631	-0.5664367304209	10	79	#00B0F6
#619CFF	-0.576120277916061	-0.319673315977688	11	79	#619CFF
#B983FF	0.150422229769381	0.302127053669185	12	79	#B983FF
#E76BF3	0.765667023221267	0.185604658642139	13	79	#E76BF3
#FD61D1	0.516603854271387	-0.356428416245258	14	79	#FD61D1
#FF67A4	-0.0673406781857851	0.1523056299368	15	79	#FF67A4
#F8766D	0.0906070889589289	-0.200726542956773	1	80	#F8766D
#E58700	0.13926026760027	-0.422394360877393	2	80	#E58700
#C99800	0.471991669384641	-0.389578517723077	3	80	#C99800
#A3A500	0.571385173039703	-0.149042830602975	4	80	#A3A500
#6BB100	0.212110559234693	-0.161451238656895	5	80	#6BB100
#00BA38	-0.327519554191965	-0.243981007645885	6	80	#00BA38
#00BF7D	0.0726838336783534	0.111666923924951	7	80	#00BF7D
#00C0AF	0.421009137347754	-0.867280266471389	8	80	#00C0AF
#00BCD8	0.920690276955934	-0.0853702401467287	9	80	#00BCD8
#00B0F6	-0.22052227401174	-0.580903152764719	10	80	#00B0F6
#619CFF	-0.566449331397792	-0.258905809298336	11	80	#619CFF
#B983FF	0.0822342457420351	0.28937735517864	12	80	#B983FF
#E76BF3	0.758591230825078	0.326300841758386	13	80	#E76BF3
#FD61D1	0.579130143509653	-0.304145006476946	14	80	#FD61D1
#FF67A4	-0.0705256332485635	0.222574112040723	15	80	#FF67A4
#F8766D	0.0548742040031433	-0.120047829516572	1	81	#F8766D
#E58700	0.189839929972753	-0.428652758973352	2	81	#E58700
#C99800	0.485781221729735	-0.448762268992678	3	81	#C99800
#A3A500	0.55035692423187	-0.153706777763931	4	81	#A3A500
#6BB100	0.223293831192625	-0.1250767488586	5	81	#6BB100
#00BA38	-0.360733978536752	-0.260576770689787	6	81	#00BA38
#00BF7D	0.00979993238195986	0.118336386704103	7	81	#00BF7D
#00C0AF	0.36166264812508	-0.837674195971877	8	81	#00C0AF
#00BCD8	0.928665469777111	-0.0751435615597654	9	81	#00BCD8
#00B0F6	-0.272861908118674	-0.548983560263462	10	81	#00B0F6
#619CFF	-0.587346622609716	-0.214463511196441	11	81	#619CFF
#B983FF	0.0695397775143055	0.271718179053714	12	81	#B983FF
#E76BF3	0.778197423987352	0.395824843828579	13	81	#E76BF3
#FD61D1	0.592944011096502	-0.241647598498356	14	81	#FD61D1
#FF67A4	-0.0256793189297265	0.276634112573306	15	81	#FF67A4
#F8766D	-0.0348908465540484	-0.118808675188828	1	82	#F8766D
#E58700	0.284522362923087	-0.435499746752732	2	82	#E58700
#C99800	0.41032570552832	-0.485563372871266	3	82	#C99800
#A3A500	0.613716807660665	-0.140492875027677	4	82	#A3A500
#6BB100	0.208047681877718	-0.111704749345961	5	82	#6BB100
#00BA38	-0.432533626884783	-0.32280745504673	6	82	#00BA38
#00BF7D	-0.0307397963621829	0.0962645923405835	7	82	#00BF7D
#00C0AF	0.411200167225068	-0.826342096595924	8	82	#00C0AF
#00BCD8	0.904737927865824	-0.0862733661402814	9	82	#00BCD8
#00B0F6	-0.201529146839029	-0.456768936073133	10	82	#00B0F6
#619CFF	-0.641476162671925	-0.268329418511597	11	82	#619CFF
#B983FF	-0.0160222361310017	0.231329510079021	12	82	#B983FF
#E76BF3	0.773476615806014	0.437354960633626	13	82	#E76BF3
#FD61D1	0.584728272065048	-0.274476380533809	14	82	#FD61D1
#FF67A4	-0.0368709291859862	0.202065366772494	15	82	#FF67A4
#F8766D	-0.103567810598421	-0.0609452036579795	1	83	#F8766D
#E58700	0.246606361618442	-0.449930005076675	2	83	#E58700
#C99800	0.409691134236336	-0.433637281447409	3	83	#C99800
